100;82782;76698;73571;42962
200;70457;73831;71219;37999
300;66602;81226;74467;40609
400;76468;76201;77152;45750
500;82809;73226;76796;46847
600;66425;80124;89105;49891
700;74194;78075;76012;57032
800;73848;78710;73242;56263
900;77529;89054;76338;52107
1000;71188;85867;81156;58851
1100;74006;83337;98100;61311
1200;70773;85772;76895;65394
1300;80449;84779;83193;76263
1400;70130;80910;84446;77052
1500;70820;77708;85017;79882
1600;72168;70215;80837;89543
1700;83014;79489;81897;111796
1800;86754;87887;85708;98201
1900;75412;81151;93798;100173
2000;75257;85265;86415;101852
2100;72610;86972;88584;106326
2200;83599;103437;92876;112119
2300;81404;88786;99071;107504
2400;88285;88407;82636;102644
2500;73211;93104;90758;111367
2600;82150;83584;87027;118186
2700;81893;115662;98893;124040
2800;97393;98587;104666;124607
2900;72002;102447;119922;121259
3000;72774;91211;107666;119018
