100;617927;815513;1008277;50189
200;708566;759133;954785;60306
300;666013;835467;866573;54526
400;637544;785000;872124;55312
500;652603;892835;919425;73372
600;654789;872210;927883;62663
700;692656;737908;919630;72546
800;728048;823916;890253;52719
900;641903;763059;960594;62782
1000;762379;817665;928013;55770
1100;694673;743492;868029;60600
1200;671997;791248;894665;68250
1300;701529;751036;933373;69804
1400;712223;805279;876237;88015
1500;718489;753864;918610;74960
1600;648801;786811;912784;74495
1700;694967;849711;870137;85084
1800;746965;793110;874451;79663
1900;721437;820041;855829;95380
2000;694360;788833;865022;87010
2100;680044;822891;832722;94379
2200;768640;815699;908080;95794
2300;733496;863476;924239;102758
2400;725858;894410;889195;118314
2500;791562;859172;929893;100153
2600;729996;819473;905890;108802
2700;720222;743819;877944;103381
2800;689925;793706;866476;106444
2900;701128;742672;872989;112576
3000;709504;814011;904902;121529
