100;681563;847087;906716;137942
200;752750;909382;985464;68338
300;728245;701670;824390;48512
400;840049;936543;1050113;81541
500;721789;835566;929285;61510
600;639383;807741;918043;54427
700;725297;903992;864073;79099
800;717221;768740;964179;105665
900;871248;841911;878285;58346
1000;660390;825647;1090394;61702
1100;747471;897669;941504;270619
1200;704985;941869;850219;67834
1300;723716;954188;967829;66892
1400;604456;891671;990821;255357
1500;668817;984010;1053549;73247
1600;757962;976742;966185;73104
1700;600762;956366;966677;95472
1800;703530;982857;949880;88154
1900;734290;838493;983039;87934
2000;865063;950407;925555;86040
2100;826317;1001372;1034061;107755
2200;777650;1184918;921173;100090
2300;744712;905798;1011798;103862
2400;812832;932244;906670;97425
2500;850319;1024557;929833;205645
2600;659323;965376;892893;105669
2700;830001;918783;1127411;109666
2800;891327;842904;1050095;153905
2900;765069;892024;984983;112843
3000;806729;886849;942592;179849
