100;61293;65314;72861;33372
200;82991;74131;76231;38855
300;67903;69046;72445;40454
400;74547;73699;106978;45313
500;63051;81645;79263;46551
600;76147;71089;76741;48298
700;67305;84914;77749;55743
800;73724;73861;83653;56324
900;64102;70813;75119;58496
1000;80404;72063;78464;61161
1100;70813;67292;78381;69952
1200;63783;69922;76757;70065
1300;69894;97631;80651;73328
1400;74719;78331;73777;77117
1500;68851;67404;75513;79436
1600;64422;66783;75496;116500
1700;65217;68352;75941;89790
1800;75595;78848;80950;89657
1900;76159;82597;85694;96046
2000;74289;77701;86360;99404
2100;72916;83419;89883;100869
2200;67522;102961;90694;103523
2300;66190;76270;89294;110100
2400;77366;76721;96344;112735
2500;68681;76082;99656;144663
2600;67859;88088;95232;120503
2700;67254;85740;86845;159318
2800;69366;90812;87168;128393
2900;73006;80852;86682;132088
3000;75810;114132;86216;138454
