100;109888;87645;71682;43481
200;79491;88707;84309;39568
300;78808;88776;84820;42629
400;76968;65984;75239;48200
500;68334;88943;79338;52278
600;76717;92083;92438;51415
700;70843;83497;84615;60962
800;100811;91816;83635;50013
900;55126;84120;78349;65807
1000;77225;84572;85022;69229
1100;69702;75426;71267;65514
1200;84303;84790;84037;77060
1300;80703;86213;83104;80344
1400;87367;82453;87264;84130
1500;76891;85145;91215;85825
1600;70651;85585;95732;84911
1700;82138;87232;96994;100296
1800;68061;70801;81883;92317
1900;70825;85807;88311;98808
2000;66252;72679;79788;98496
2100;65292;76808;79887;105156
2200;73630;84509;79370;96455
2300;76386;94143;78933;109651
2400;77847;75803;74954;99878
2500;74996;81295;82185;109814
2600;69318;82595;83732;106897
2700;78912;81565;86958;105089
2800;76901;79271;87762;108212
2900;66737;78301;85320;129319
3000;70727;78180;104028;130030
