100;496687;678840;772165;173236
200;466469;753248;719335;103769
300;539637;760840;694189;87370
400;456967;689913;735282;72134
500;416591;655447;716890;70032
600;497558;741544;818016;65500
700;429719;660660;725344;67386
800;512332;738283;873719;80191
900;514678;800883;826604;70858
1000;515078;747470;837796;77130
1100;543095;827086;903553;92931
1200;551078;899576;994156;87511
1300;504503;875328;925633;106462
1400;590467;897067;915052;100565
1500;560558;713701;790342;109403
1600;526733;787597;838158;100903
1700;556542;825678;766725;120854
1800;586821;885151;748284;102434
1900;514608;698709;727326;92470
2000;470176;701315;757614;124273
2100;610048;685103;770212;115758
2200;548262;773324;757878;101864
2300;687934;840156;806476;122160
2400;560057;707371;927530;121041
2500;564028;773185;915438;123684
2600;536973;738673;789820;136514
2700;523129;762168;790953;124193
2800;581169;869560;888957;139402
2900;579102;943645;781675;142355
3000;684796;962584;924652;150276
