100;789004;874505;991238;85735
200;1195972;951781;1047363;65100
300;887162;1020702;977090;55361
400;910169;891785;855329;52291
500;864250;802540;833694;65642
600;757666;876103;1007746;59302
700;796436;927172;817754;63701
800;835485;872829;931126;62814
900;728693;758667;803924;71889
1000;1044775;876640;1015996;77765
1100;1049506;1132701;866009;62753
1200;818090;870850;953654;102218
1300;671792;791271;820863;65260
1400;968332;962105;894501;72502
1500;714527;837598;1013992;69335
1600;683105;805813;871527;68272
1700;554633;1285079;1032145;76996
1800;459095;764571;835129;80978
1900;759063;1041405;1026071;94735
2000;545782;839819;1322331;207540
2100;1032387;851642;908083;87928
2200;812197;804910;902888;102892
2300;673909;827945;806311;93302
2400;548647;951317;830141;98555
2500;689041;738000;797157;98211
2600;668282;723019;963875;104739
2700;627562;1116121;949908;122621
2800;765680;869001;1233464;112621
2900;788369;749797;821560;119569
3000;765501;895066;1295577;132871
