100;46213;70783;62509;30600
200;54152;55373;61065;33185
300;89455;63131;62374;33725
400;49420;58677;66643;33888
500;62977;61416;68515;35543
600;48297;60253;65576;38004
700;47812;57825;65603;47740
800;43535;82729;64842;46521
900;43047;63137;61791;45922
1000;58294;60132;62684;50961
1100;55782;58309;65835;60195
1200;82177;59080;68948;60245
1300;44719;59526;89077;61060
1400;53627;68183;64970;64099
1500;51114;60064;64563;63352
1600;60150;60586;64754;67923
1700;49302;58930;62470;68133
1800;47772;58773;73305;68650
1900;47897;57167;63391;72215
2000;50734;62482;63766;82475
2100;50978;61698;68375;95752
2200;64061;60875;74332;89969
2300;43795;63468;68009;88870
2400;66575;65521;69255;95381
2500;49002;61685;66702;89122
2600;53062;60003;68679;98063
2700;61866;60394;71651;96296
2800;43051;62718;67350;101404
2900;59213;64316;69120;98712
3000;45235;61274;67046;102298
