100;80151;74343;91728;95823
200;25944;58041;89041;69513
300;35076;59030;91170;43888
400;33556;74449;74870;49310
500;42925;58701;57317;64923
600;41735;67311;66465;55695
700;46525;64911;61973;55387
800;43754;73354;70073;59325
900;45034;62247;70562;63826
1000;46157;62863;82610;70204
1100;43638;63552;75241;96322
1200;41082;62642;75421;92104
1300;48978;70610;83435;105664
1400;60431;68984;79982;111899
1500;37533;68213;72135;84376
1600;47843;67096;72672;114631
1700;48377;61330;67154;82987
1800;51872;65432;69504;106303
1900;39025;68898;93219;137225
2000;46433;50318;91702;113647
2100;40281;59887;77779;89997
2200;32532;61511;65157;93687
2300;26594;59401;70454;92562
2400;48767;70022;71607;107075
2500;46145;61903;82524;110551
2600;40814;60728;66287;117860
2700;49586;59227;79911;125176
2800;40356;58631;84253;94124
2900;65865;82238;78239;91640
3000;45097;57514;89078;101592
