100;888200;841191;834924;91594
200;748326;886885;884414;67126
300;850306;952511;925273;53703
400;791329;846110;897418;58880
500;771353;853990;931096;51217
600;788378;852223;964127;65206
700;767160;916279;843822;55829
800;805106;868802;859366;56621
900;728660;837813;817291;55462
1000;724177;808416;882124;64627
1100;788065;897116;906134;60387
1200;757383;921717;854264;70809
1300;718222;892488;836370;72817
1400;789220;902861;968730;72093
1500;799957;933405;907236;73897
1600;758496;924681;848966;70913
1700;715027;855320;850684;83518
1800;785303;950411;949673;80035
1900;735387;855352;841695;84205
2000;774006;913286;928762;89938
2100;764471;873710;863995;93022
2200;830662;863389;847842;91720
2300;728054;845426;842452;98054
2400;658529;951033;921810;98725
2500;780123;899655;931247;100511
2600;858653;906950;933145;105683
2700;754308;846345;942798;107770
2800;851885;954145;1016633;125642
2900;794776;949077;913386;143306
3000;822024;978765;977340;144956
