100;525620;1127913;966051;160781
200;616016;841761;973902;101716
300;611302;1077578;991688;102117
400;546370;957130;844048;78358
500;609583;969268;895789;96862
600;524124;877129;802473;95869
700;622532;858240;905212;79791
800;573928;794097;873977;72153
900;691902;1122549;1112102;60974
1000;566146;942161;1064644;87210
1100;672358;1038989;927318;91996
1200;638625;1149278;1099639;79508
1300;765991;1281257;1169476;81040
1400;870760;1260334;1262211;142832
1500;916514;1349073;1162730;161878
1600;779062;1398271;1255304;134363
1700;931203;1403058;1249387;131735
1800;795368;1150125;1008380;97015
1900;959266;1243591;1132546;105364
2000;1255697;1023766;1118270;218281
2100;498971;1156792;1251596;162343
2200;1077320;1017912;978083;109642
2300;540222;1133252;1146651;178150
2400;920566;1204619;1195088;123141
2500;582458;1242725;1091137;113823
2600;492486;1049285;1288653;122566
2700;969249;977098;863781;119033
2800;781907;1012399;804118;119099
2900;637681;1184233;876656;128572
3000;589992;1081727;859896;122634
